,No. of Bedrooms,price_lack,price_per_square,city_Encoded,location_Encoded,cities,locations
6856,3.0,7175000,5000.0,3,37,Hyderabad,Balanagar
6857,3.0,7550000,5000.0,3,37,Hyderabad,Balanagar
6858,2.0,7301000,5748.818897637795,3,250,Hyderabad,Nallagandla Gachibowli
6859,2.0,8686000,5748.510919920583,3,250,Hyderabad,Nallagandla Gachibowli
6860,3.0,7301000,5748.818897637795,3,250,Hyderabad,Nallagandla Gachibowli
6861,3.0,9571000,5748.348348348349,3,250,Hyderabad,Nallagandla Gachibowli
6892,3.0,10200000,6163.141993957704,3,257,Hyderabad,Narsingi
6895,3.0,59600000,11461.538461538461,3,58,Hyderabad,Boiguda
6898,3.0,12600000,6331.658291457286,3,375,Hyderabad,Shaikpet
6906,3.0,14500000,6971.153846153846,3,375,Hyderabad,Shaikpet
6907,2.0,4993000,4042.914979757085,3,98,Hyderabad,ECIL Main Road
6908,3.0,17000000,7522.123893805309,3,134,Hyderabad,Hitech City
6909,3.0,15000000,7444.168734491315,3,134,Hyderabad,Hitech City
6910,3.0,15000000,7444.168734491315,3,134,Hyderabad,Hitech City
6911,3.0,12000000,7058.823529411765,3,257,Hyderabad,Narsingi
6912,2.0,9300000,7351.778656126482,3,318,Hyderabad,Sanath Nagar
6913,4.0,45000000,9677.41935483871,3,224,Hyderabad,Manikonda
6921,3.0,8200000,4969.69696969697,3,373,Hyderabad,Serilingampally
6922,2.0,8200000,6743.421052631579,3,207,Hyderabad,Kukatpally
6923,3.0,11500000,5676.209279368213,3,399,Hyderabad,Tellapur
6925,3.0,15000000,7444.168734491315,3,134,Hyderabad,Hitech City
6926,3.0,19000000,7600.0,3,134,Hyderabad,Hitech City
6927,4.0,13000000,4691.447130999639,3,40,Hyderabad,Bandlaguda Jagir
6928,3.0,16900000,8918.205804749341,3,318,Hyderabad,Sanath Nagar
6929,3.0,14900000,9933.333333333334,3,318,Hyderabad,Sanath Nagar
6930,4.0,26900000,10366.088631984585,3,212,Hyderabad,Madhapur
6931,3.0,23000000,10222.222222222223,3,195,Hyderabad,Kondapur
6933,3.0,17600000,9361.702127659575,3,195,Hyderabad,Kondapur
6936,3.0,23000000,10222.222222222223,3,195,Hyderabad,Kondapur
6944,3.0,11100000,5923.159018143009,3,399,Hyderabad,Tellapur
6946,3.0,8500000,4250.0,3,224,Hyderabad,Manikonda
6948,4.0,35000000,8413.461538461539,3,375,Hyderabad,Shaikpet
6951,2.0,9000000,6617.64705882353,3,207,Hyderabad,Kukatpally
6953,4.0,23000000,7555.847568988173,3,134,Hyderabad,Hitech City
6954,4.0,23000000,7416.962270235408,3,134,Hyderabad,Hitech City
6955,4.0,23600000,7499.2055926279,3,134,Hyderabad,Hitech City
6956,4.0,23000000,7443.365695792881,3,134,Hyderabad,Hitech City
6957,2.0,3800000,3336.2598770851623,3,297,Hyderabad,Pragati Nagar
6959,3.0,9278000,5499.703615886188,3,399,Hyderabad,Tellapur
6960,2.0,2800000,3636.3636363636365,3,268,Hyderabad,Padmarao Nagar
6962,3.0,11100000,4988.76404494382,3,257,Hyderabad,Narsingi
6963,3.0,10800000,4976.958525345623,3,257,Hyderabad,Narsingi
6964,2.0,7125000,5000.0,3,257,Hyderabad,Narsingi
6965,3.0,10100000,4987.6543209876545,3,257,Hyderabad,Narsingi
6972,3.0,12600000,6478.149100257069,3,188,Hyderabad,Kokapet
6973,3.0,12600000,6478.149100257069,3,188,Hyderabad,Kokapet
6974,3.0,12600000,6478.149100257069,3,188,Hyderabad,Kokapet
6975,3.0,10900000,6488.0952380952385,3,188,Hyderabad,Kokapet
6977,2.0,8255000,6500.0,3,188,Hyderabad,Kokapet
6978,2.0,8255000,6500.0,3,188,Hyderabad,Kokapet
6979,2.0,8255000,6500.0,3,188,Hyderabad,Kokapet
6980,3.0,9620000,6500.0,3,188,Hyderabad,Kokapet
6981,4.0,9900000,3300.0,3,316,Hyderabad,Sainikpuri
6982,2.0,4800000,3918.3673469387754,3,263,Hyderabad,Nizampet
6983,3.0,11200000,5528.134254689043,3,399,Hyderabad,Tellapur
6984,3.0,7900000,5180.327868852459,3,40,Hyderabad,Bandlaguda Jagir
6986,3.0,10500000,6402.4390243902435,3,195,Hyderabad,Kondapur
6987,2.0,8900000,6544.117647058823,3,207,Hyderabad,Kukatpally
6989,3.0,11399999,5626.850444225074,3,399,Hyderabad,Tellapur
6996,3.0,11200000,5528.134254689043,3,399,Hyderabad,Tellapur
6997,2.0,9000000,6588.579795021962,3,207,Hyderabad,Kukatpally
6999,2.0,9400000,6523.247744621791,3,207,Hyderabad,Kukatpally
7000,2.0,8900000,6544.117647058823,3,207,Hyderabad,Kukatpally
7001,4.0,23000000,7443.365695792881,3,134,Hyderabad,Hitech City
7003,3.0,11200000,5528.134254689043,3,399,Hyderabad,Tellapur
7004,3.0,10500000,5585.106382978724,3,399,Hyderabad,Tellapur
7010,2.0,9400000,6523.247744621791,3,207,Hyderabad,Kukatpally
7011,3.0,10500000,6176.470588235294,3,257,Hyderabad,Narsingi
7012,3.0,10500000,6176.470588235294,3,257,Hyderabad,Narsingi
7013,3.0,10500000,6176.470588235294,3,257,Hyderabad,Narsingi
