,Area,Location,No. of Bedrooms,City,price_lack
5337,820,Uttam Nagar,3.0,Delhi,4700000
5338,500,Uttam Nagar,1.0,Delhi,2400000
5339,450,Uttam Nagar,1.0,Delhi,2000000
5340,525,Uttam Nagar,2.0,Delhi,2700000
5341,750,Uttam Nagar,2.0,Delhi,3500000
5342,850,Uttam Nagar,3.0,Delhi,4200000
5343,820,Uttam Nagar,3.0,Delhi,4700000
5344,450,Uttam Nagar,1.0,Delhi,2500000
5345,525,Uttam Nagar,2.0,Delhi,2700000
5346,750,Uttam Nagar,2.0,Delhi,3500000
5347,850,Uttam Nagar,3.0,Delhi,4200000
5348,1100,Vasant Kunj,3.0,Delhi,18000000
5349,1100,Vasant Kunj,3.0,Delhi,18000000
5350,850,Paschim Vihar,2.0,Delhi,8000000
5351,750,Paschim Vihar,2.0,Delhi,7500000
5352,900,Paschim Vihar,2.0,Delhi,8500000
5353,650,Paschim Vihar,2.0,Delhi,6500000
5354,600,Vasant Kunj,1.0,Delhi,7500000
5355,1105,Paschim Vihar,3.0,Delhi,13000000
5356,600,Paschim Vihar,2.0,Delhi,7000000
5357,1000,Vasant Kunj,3.0,Delhi,13500000
5358,1000,Vasant Kunj,3.0,Delhi,13500000
5359,1200,Vasant Kunj,2.0,Delhi,16500000
5360,600,mayur vihar phase 1,2.0,Delhi,2800000
5361,1650,Sarita Vihar,2.0,Delhi,20500000
